Sampling rate 50 Hz,,,,,
Mouse 1,Mouse 1,Mouse 2,Mouse 2,Mouse 3,Mouse 3
Run1,Run1,Run1,Run1,Run1,Run1
"5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion","5 min baseline, handmotion"
465nm,405nm,465nm,405nm,465nm,405nm
1.6030211,1.1883228,1.4040226,1.246828,1.4093872,1.138725
1.6051468,1.167674,1.3999739,1.2557353,1.4048324,1.1270847
1.6118273,1.1531994,1.3933945,1.2566463,1.41293,1.1224285
1.5941138,1.1646373,1.3978482,1.2629219,1.3954189,1.1365994
1.5977577,1.1560336,1.3944067,1.2476377,1.4022007,1.1314372
1.6031224,1.1660544,1.3849933,1.2475365,1.4023019,1.1160517
1.5950247,1.1601837,1.4153593,1.2414633,1.3979495,1.1315384
1.5915833,1.1678764,1.3993665,1.2574561,1.4102982,1.1397372
1.5967455,1.1711154,1.3985567,1.2451072,1.3870176,1.1315384
1.6014016,1.1738484,1.4017957,1.254217,1.3921798,1.13417
1.5997821,1.152997,1.4016945,1.2448035,1.4010873,1.1333604
1.5943162,1.1632203,1.3981519,1.2531036,1.4004799,1.1211127
1.6000857,1.1616007,1.3989617,1.2406535,1.3896494,1.1343726
1.5793357,1.1554263,1.3921798,1.2469292,1.4122214,1.1379153
1.5761979,1.16818,1.4000751,1.2449048,1.4188007,1.1373079
1.6077784,1.1528958,1.40463,1.2534072,1.4041238,1.1280969
1.5924942,1.1555275,1.3958238,1.2485487,1.4024031,1.132753
1.5895588,1.1573495,1.4013909,1.2568487,1.41293,1.1370043
1.5907735,1.1484421,1.3967348,1.2528,1.4142458,1.1278944
1.6097016,1.1619043,1.4040226,1.2414633,1.401897,1.1373079
1.6074748,1.1583617,1.4017957,1.2649463,1.4036177,1.1436847
1.595126,1.1340688,1.3850945,1.2437913,1.4032129,1.1239469
1.5952272,1.1691922,1.3972409,1.2446011,1.4103994,1.1394335
1.5959357,1.1662568,1.3993665,1.259278,1.401897,1.1400409
1.585915,1.1490494,1.3875238,1.2612011,1.3969373,1.1362957
1.5980613,1.1564385,1.3987591,1.2541158,1.4105006,1.13417
1.6085882,1.1632203,1.3963299,1.2552292,1.4176873,1.1352835
1.5991747,1.1636251,1.4049336,1.2545207,1.4039214,1.1427737
1.6207347,1.1664593,1.3978482,1.2460182,1.4146507,1.1316396
1.6027175,1.1575519,1.3914714,1.2476377,1.4016945,1.1132176
1.6038309,1.1537056,1.3901554,1.2558365,1.405541,1.1415591
1.6077784,1.1340688,1.389042,1.2497634,1.3974433,1.1329554
1.6101066,1.1707106,1.388131,1.2513828,1.3891432,1.1323482
1.6044382,1.1663581,1.3981519,1.2562414,1.4093872,1.1211127
1.5947211,1.157147,1.3927872,1.2470304,1.4109056,1.1402433
1.6035272,1.1612971,1.3907628,1.2515852,1.3847908,1.1406481
1.5922918,1.1415591,1.3967348,1.2480426,1.3939006,1.1179749
